fetched_utc,source,filename,stored_as,vintage,data_through,variant_by_name,variant_by_content,firm_type,n_cols,n_rows,bytes,sha256,last_modified,etag,url
2026-09-10T20:50:33+00:00,backfill,ia040224.zip,ia040224.zip,2024-04-02,2024-04-01,unmarked,registered,Registered,461,15531,20403648,314c99c72cf2629e5760728a1bcab6b1701b8ca4bade0e436f6c1237db5f5f87,"Tue, 02 Apr 2024 16:56:05 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040224.zip
2026-09-10T20:50:38+00:00,backfill,ia040423-exempt.zip,ia040423-exempt.zip,2023-04-04,2023-04-03,exempt,exempt,ERA,101,5749,2164096,e9b7d835d4acc4c10226724de9a1cf9fdf97ad030b8e2ed6b3adb41b4b01b09b,"Wed, 05 Apr 2023 14:07:53 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040423-exempt.zip
2026-09-10T20:50:54+00:00,backfill,ia040423.zip,ia040423.zip,2023-04-04,2023-04-03,unmarked,registered,Registered,262,15300,13610675,f44fb51ed256f584d2c304f9df066cbc24ff8324bc35dfa31384052ba9310eca,"Wed, 05 Apr 2023 14:01:56 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040423.zip
2026-09-10T20:51:00+00:00,backfill,ia050324-exempt.zip,ia050324-exempt.zip,2024-05-03,2024-05-02,exempt,exempt,ERA,184,5440,3499534,ce517cb1fc09f429ebc5ff4e9d1cbeee4517eba5cd5c495c8ac85362f5d246b6,"Fri, 03 May 2024 14:01:16 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia050324-exempt.zip
2026-09-10T20:51:20+00:00,backfill,ia051023_1.zip,ia051023_1.zip,2023-05-10,2023-04-30,unmarked,registered,Registered,465,15345,20008858,9e2e0887db5fe52f35c5058c82afe52a7b5e639a6d0fff64aee4ec6bd16b3017,"Wed, 10 May 2023 19:51:40 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia051023_1.zip
2026-09-10T20:51:28+00:00,backfill,ia060223-exempt.zip,ia060223-exempt.zip,2023-06-02,2023-06-01,exempt,exempt,ERA,184,5842,3725512,562dea46fc2905aa7d7c930e4a3c5ac100dcc76e8e4e8256445b2b892d0fe35d,"Fri, 02 Jun 2023 19:59:07 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060223-exempt.zip
2026-09-10T20:51:55+00:00,backfill,ia060223.zip,ia060223.zip,2023-06-02,2023-06-01,unmarked,registered,Registered,461,15408,20099765,d3df94e052cadb8d460c3b897733d3c3d7e522efee4bbce6b1b9bec3bbe21342,"Fri, 02 Jun 2023 19:55:30 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060223.zip
2026-09-10T20:52:01+00:00,backfill,ia060524-exempt.zip,ia060524-exempt.zip,2024-06-05,2024-06-04,exempt,exempt,ERA,184,5496,3534305,36b2ec79ec593e1f354460d807385dc465a5a57b31560b20972c5a1db00b6eef,"Wed, 05 Jun 2024 19:10:33 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060524-exempt.zip
2026-09-10T20:52:21+00:00,backfill,ia060524.zip,ia060524.zip,2024-06-05,2024-06-04,unmarked,registered,Registered,461,15728,20639667,f69cb6836ce5e656b9244b8730f048ccb9719c3bfcb6467bb3d295d23dc5aff6,"Wed, 05 Jun 2024 19:08:21 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060524.zip
2026-09-10T20:52:27+00:00,backfill,ia070124-exempt.zip,ia070124-exempt.zip,2024-07-01,2024-06-30,exempt,exempt,ERA,184,5486,3532502,54f6dc24e33b8437fa86c0685646f568b8b5f3362d4e9ed49ab4107469c6fc86,"Tue, 02 Jul 2024 13:53:49 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia070124-exempt.zip
2026-09-10T20:52:48+00:00,backfill,ia070124.zip,ia070124.zip,2024-07-01,2024-06-30,unmarked,registered,Registered,461,15754,20676684,790f991509046dacf7943906c1f04237ca6386de679b8d93235206b20af2a1b4,"Tue, 02 Jul 2024 13:49:46 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia070124.zip
2026-09-10T20:52:54+00:00,backfill,ia080124-exempt.zip,ia080124-exempt.zip,2024-08-01,2024-07-31,exempt,exempt,ERA,184,5539,3583871,171fd42c679ae4dbac68629ddc71e275441505ab63fa8667f097ad9b6d557c1d,"Thu, 01 Aug 2024 15:03:15 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia080124-exempt.zip
2026-09-10T20:53:14+00:00,backfill,ia080124.zip,ia080124.zip,2024-08-01,2024-07-31,unmarked,registered,Registered,461,15860,20842581,ba7f576c18882d8db0cdcfa48885792df54b7398eb6901eb56955d45e9c10468,"Thu, 01 Aug 2024 15:00:29 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia080124.zip
2026-09-10T20:53:21+00:00,backfill,ia090324-exempt.zip,ia090324-exempt.zip,2024-09-03,2024-09-02,exempt,exempt,ERA,184,5613,3636128,794f5f617a6fa5c3c371915792ef6f4f5957bcb06575d0e846cbf4b30c8c3c8b,"Tue, 03 Sep 2024 18:18:58 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia090324-exempt.zip
2026-09-10T20:53:44+00:00,backfill,ia090324.zip,ia090324.zip,2024-09-03,2024-09-02,unmarked,registered,Registered,461,15923,20920076,63e89a6126307a7c2333fd3ef31295ec19822430e26923f62a3689ae812d4f11,"Tue, 03 Sep 2024 18:17:39 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-exempt-reporting-advisers/ia090324.zip
2026-09-10T20:53:49+00:00,backfill,ia090623-exempt.zip,ia090623-exempt.zip,2023-09-06,2023-09-05,exempt,exempt,ERA,184,5914,3780872,053db91337de368f6cfc45d2c4ba519bd30591950209eee6d94239f251e750aa,"Thu, 21 Sep 2023 14:16:24 GMT",,https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090623-exempt.zip
